# Program:featureCounts v1.6.3; Command:"/usr/bin/featureCounts" "-p" "-g" "gene_id" "-a" "/scratch_tmp/grp/msc_appbio/group8/data/raw/ncbi_dataset/data/GCF_000146045.2/genomic.gtf" "-o" "/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166443/counts.txt" "/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166443/theAlignmentAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166443/theAlignmentAligned.sortedByCoord.out.bam
YAL068C	NC_001133.9	1807	2169	-	363	162
YAL067W-A	NC_001133.9	2480	2707	+	228	3
YAL067C	NC_001133.9	7235	9016	-	1782	3790
YAL065C	NC_001133.9	11565	11951	-	387	55
YAL064W-B	NC_001133.9	12046	12426	+	381	62
YAL064C-A	NC_001133.9	13363	13743	-	381	155
YAL064W	NC_001133.9	21566	21850	+	285	11
YAL063C-A	NC_001133.9	22395	22685	-	291	67
YAL063C	NC_001133.9	24000	27968	-	3969	363
YAL062W	NC_001133.9	31567	32940	+	1374	7708
YAL061W	NC_001133.9	33448	34701	+	1254	2933
YAL060W	NC_001133.9	35155	36303	+	1149	6068
YAL059W	NC_001133.9	36509	37147	+	639	1500
YAL058W	NC_001133.9	37464	38972	+	1509	1937
YAL056W	NC_001133.9	39259	41901	+	2643	6631
YAL055W	NC_001133.9	42177	42719	+	543	1225
YAL054C	NC_001133.9	42881	45022	-	2142	1553
YAL053W	NC_001133.9	45899	48250	+	2352	6247
YAL051W	NC_001133.9	48564	51707	+	3144	2657
YAL049C	NC_001133.9	51855	52595	-	741	1133
YAL048C	NC_001133.9	52801	54789	-	1989	1738
YAL047C	NC_001133.9	54989	56857	-	1869	1372
YAL046C	NC_001133.9	57029	57385	-	357	1230
YAL044W-A	NC_001133.9	57518	57850	+	333	2005
YAL044C	NC_001133.9	57950	58462	-	513	22512
YAL043C	NC_001133.9	58695	61052	-	2358	4356
YAL042W	NC_001133.9	61316	62563	+	1248	11275
YAL041W	NC_001133.9	62840	65404	+	2565	4753
YAL040C	NC_001133.9	65778	67520	-	1743	2328
YAL039C	NC_001133.9	68716	69525	-	810	3535
YAL038W	NC_001133.9	71786	73288	+	1503	236448
YAL037C-A	NC_001133.9	73426	73518	-	93	69
YAL037W	NC_001133.9	74020	74823	+	804	943
YAL036C	NC_001133.9	75043	76152	-	1110	3151
YAL035W	NC_001133.9	76427	79435	+	3009	12710
YAL034W-A	NC_001133.9	79718	80587	+	870	841
YAL034C	NC_001133.9	80710	81951	-	1242	2582
YAL033W	NC_001133.9	82706	83227	+	522	802
YAL032C	NC_001133.9	83335	84474	-	1140	2089
YAL031C	NC_001133.9	84749	87031	-	2283	3671
YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	3272
YAL029C	NC_001133.9	87855	92270	-	4416	3709
YAL028W	NC_001133.9	92900	94486	+	1587	1787
YAL027W	NC_001133.9	94687	95472	+	786	788
YAL026C	NC_001133.9	95630	99697	-	4068	4284
YNCA0001W	NC_001133.9	99305	99868	+	564	57
YAL025C	NC_001133.9	100225	101145	-	921	3559
YAL024C	NC_001133.9	101565	105872	-	4308	1121
YAL023C	NC_001133.9	106272	108551	-	2280	11623
YAL022C	NC_001133.9	108877	110430	-	1554	3527
YAL021C	NC_001133.9	110846	113359	-	2514	5030
YAL020C	NC_001133.9	113614	114615	-	1002	1940
YAL019W	NC_001133.9	114919	118314	+	3396	3654
YAL018C	NC_001133.9	118564	119541	-	978	464
YAL017W	NC_001133.9	120225	124295	+	4071	4087
YAL016W	NC_001133.9	124879	126786	+	1908	8194
YAL015C	NC_001133.9	126903	128102	-	1200	2413
YAL014C	NC_001133.9	128252	129019	-	768	3497
YAL013W	NC_001133.9	129270	130487	+	1218	4357
YAL012W	NC_001133.9	130799	131983	+	1185	38402
YAL011W	NC_001133.9	132199	134076	+	1878	1976
YAL010C	NC_001133.9	134184	135665	-	1482	1879
YAL009W	NC_001133.9	135854	136633	+	780	1827
YAL008W	NC_001133.9	136914	137510	+	597	3599
YAL007C	NC_001133.9	137698	138345	-	648	3709
YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	1
YAL005C	NC_001133.9	139503	141431	-	1929	18417
YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	24046
YNCA0003W	NC_001133.9	142367	142468	+	102	383
YAL002W	NC_001133.9	143707	147531	+	3825	3789
YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	4707
YAR002W	NC_001133.9	152257	153876	+	1620	3707
YAR002C-A	NC_001133.9	154065	154724	-	660	7012
YAR003W	NC_001133.9	155005	156285	+	1281	2628
YAR007C	NC_001133.9	156754	158619	-	1866	3121
YAR008W	NC_001133.9	158966	159793	+	828	1340
YAR009C	NC_001133.9	160597	164187	-	3591	149
YAR010C	NC_001133.9	164544	165866	-	1323	13
YNCA0004W	NC_001133.9	166267	166339	+	73	11
YAR014C	NC_001133.9	166742	168871	-	2130	5419
YAR015W	NC_001133.9	169375	170295	+	921	14994
YAR018C	NC_001133.9	170396	171703	-	1308	1641
YAR019C	NC_001133.9	172211	175135	-	2925	1587
YAR020C	NC_001133.9	176856	177023	-	168	364
YAR023C	NC_001133.9	179281	179820	-	540	720
YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	1
YNCA0006C	NC_001133.9	182522	182603	-	82	1
YAR027W	NC_001133.9	183770	184477	+	708	3127
YAR028W	NC_001133.9	184892	185596	+	705	2621
YAR029W	NC_001133.9	186321	186545	+	225	568
YAR031W	NC_001133.9	186836	187732	+	897	521
YAR033W	NC_001133.9	188107	188811	+	705	346
YAR035W	NC_001133.9	190193	192256	+	2064	11728
YAR035C-A	NC_001133.9	192337	192417	-	81	46
YAR042W	NC_001133.9	192619	196185	+	3567	3729
YAR050W	NC_001133.9	203403	208016	+	4614	427
YAR061W	NC_001133.9	218140	219145	+	1006	1
YAR064W	NC_001133.9	220198	220497	+	300	19
YAR066W	NC_001133.9	221049	221660	+	612	5
YAR068W	NC_001133.9	222406	222891	+	486	9
YAR071W	NC_001133.9	225460	226863	+	1404	194
YBL113C	NC_001134.8	280	2658	-	2379	354
YBL112C	NC_001134.8	2582	2899	-	318	0
YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	1
YBL108C-A	NC_001134.8	7605	7733	-	129	0
YNCB0001W	NC_001134.8	9583	9666	+	84	13
YBL107C	NC_001134.8	9961	10551	-	591	2858
YBL106C	NC_001134.8	10847	13879	-	3033	3713
YBL105C	NC_001134.8	14241	17696	-	3456	4307
YBL104C	NC_001134.8	18177	21293	-	3117	2634
YBL103C	NC_001134.8	22076	23536	-	1461	4111
YBL102W	NC_001134.8	24098	24745	+	648	5055
YBL101C	NC_001134.8	24946	28299	-	3354	2752
YBL100W-C	NC_001134.8	28427	28546	+	120	57
YBL100W-B	NC_001134.8	29935	35248	+	5314	523
YBL100W-A	NC_001134.8	29935	31251	+	1317	0
YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	0
YBL099W	NC_001134.8	37053	38690	+	1638	11454
YBL098W	NC_001134.8	39145	40527	+	1383	7846
YBL097W	NC_001134.8	40831	43095	+	2265	427
YBL095W	NC_001134.8	43277	44089	+	813	917
YBL093C	NC_001134.8	44256	44918	-	663	7962
YBL092W	NC_001134.8	45978	46370	+	393	38837
YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	1989
YBL091C	NC_001134.8	47363	48628	-	1266	9735
YBL090W	NC_001134.8	48825	49358	+	534	1998
YBL089W	NC_001134.8	49574	50953	+	1380	1551
YBL088C	NC_001134.8	51019	59382	-	8364	2442
YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	10586
YBL086C	NC_001134.8	61202	62602	-	1401	1907
YBL085W	NC_001134.8	63876	66818	+	2943	4459
YBL084C	NC_001134.8	67169	69445	-	2277	2205
YBL082C	NC_001134.8	69751	71127	-	1377	1837
YBL081W	NC_001134.8	71866	72972	+	1107	1270
YBL080C	NC_001134.8	73070	74695	-	1626	1626
YBL079W	NC_001134.8	75259	79767	+	4509	3305
YBL078C	NC_001134.8	80378	80731	-	354	2064
YBL076C	NC_001134.8	81043	84261	-	3219	23846
YBL075C	NC_001134.8	84499	86448	-	1950	2651
YBL074C	NC_001134.8	86722	87789	-	1068	1010
YNCB0003W	NC_001134.8	88190	88277	+	88	14
YBL072C	NC_001134.8	88523	89125	-	603	11386
YBL071C-B	NC_001134.8	89458	89556	-	99	91
YBL071W-A	NC_001134.8	89978	90226	+	249	1046
YBL071C	NC_001134.8	90223	90531	-	309	811
YBL069W	NC_001134.8	90741	92030	+	1290	1469
YBL068W	NC_001134.8	92414	93394	+	981	2290
YBL067C	NC_001134.8	93639	95882	-	2244	3048
YBL066C	NC_001134.8	96669	100115	-	3447	1256
YBL064C	NC_001134.8	100371	101156	-	786	8992
YBL063W	NC_001134.8	101886	105221	+	3336	1072
YBL061C	NC_001134.8	105316	107406	-	2091	4444
YBL060W	NC_001134.8	107932	109995	+	2064	2407
YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	1295
YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	721
YBL058W	NC_001134.8	111437	112708	+	1272	8332
YBL057C	NC_001134.8	112801	113427	-	627	3039
YBL056W	NC_001134.8	113762	115168	+	1407	7311
YBL055C	NC_001134.8	115573	116829	-	1257	1869
YBL054W	NC_001134.8	117589	119166	+	1578	1920
YBL052C	NC_001134.8	119379	121874	-	2496	2710
YBL051C	NC_001134.8	122753	124759	-	2007	3447
YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	5637
YBL049W	NC_001134.8	126828	127244	+	417	4106
YBL048W	NC_001134.8	127299	127610	+	312	1436
YBL047C	NC_001134.8	127895	132040	-	4146	9036
YBL046W	NC_001134.8	132424	133749	+	1326	2442
YBL045C	NC_001134.8	134143	135516	-	1374	5536
YBL044W	NC_001134.8	135998	136366	+	369	38
YBL043W	NC_001134.8	136688	137461	+	774	1543
YBL042C	NC_001134.8	138341	140260	-	1920	3841
YBL041W	NC_001134.8	141247	141972	+	726	7568
YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	4728
YBL039W-B	NC_001134.8	143393	143572	+	180	627
YBL039C	NC_001134.8	143989	145728	-	1740	4015
YBL038W	NC_001134.8	146187	146885	+	699	2501
YBL037W	NC_001134.8	147209	150286	+	3078	1892
YBL036C	NC_001134.8	150447	151220	-	774	6357
YBL035C	NC_001134.8	151493	153610	-	2118	1916
