"Geneid","Chr","Start","End","Strand","Length","X.scratch_tmp.grp.msc_appbio.group8.output.alignment_SRR1166446.theAlignmentAligned.sortedByCoord.out.bam","rpkm","normalized_rpkm"
"YAL068C","NC_001133.9","1807","2169","-",363,120,0.0112624559376895,9.33932360625924
"YAL067W-A","NC_001133.9","2480","2707","+",228,4,0.000597700512482645,0.495639542262003
"YAL067C","NC_001133.9","7235","9016","-",1782,1133,0.0216611093134914,17.9623441519767
"YAL065C","NC_001133.9","11565","11951","-",387,32,0.00281706908208874,2.33603753252169
"YAL064W-B","NC_001133.9","12046","12426","+",381,37,0.00330853118327007,2.74357951346605
"YAL064C-A","NC_001133.9","13363","13743","-",381,106,0.00947849474126021,7.85998455209193
"YAL064W","NC_001133.9","21566","21850","+",285,14,0.00167356143495141,1.38779071833361
"YAL063C-A","NC_001133.9","22395","22685","-",291,97,0.0113563097371702,9.41715130297807
"YAL063C","NC_001133.9","24000","27968","-",3969,390,0.00334766500188692,2.77603099634274
"YAL062W","NC_001133.9","31567","32940","+",1374,16330,0.404909471633166,335.76873532234
"YAL061W","NC_001133.9","33448","34701","+",1254,2259,0.0613729753499225,50.8931693622666
"YAL060W","NC_001133.9","35155","36303","+",1149,7770,0.230387798062174,191.047690924646
"YAL059W","NC_001133.9","36509","37147","+",639,1529,0.0815201764701095,67.6001142828801
"YAL058W","NC_001133.9","37464","38972","+",1509,1269,0.0286504116430796,23.7581809214298
"YAL056W","NC_001133.9","39259","41901","+",2643,5861,0.0755497518383142,62.6491756943864
"YAL055W","NC_001133.9","42177","42719","+",543,1402,0.0879643439310093,72.9439012529019
"YAL054C","NC_001133.9","42881","45022","-",2142,3781,0.0601375449807293,49.8686961856584
"YAL053W","NC_001133.9","45899","48250","+",2352,7247,0.104973439624072,87.0485911896455
"YAL051W","NC_001133.9","48564","51707","+",3144,2192,0.0237528921220202,19.6969424199694
"YAL049C","NC_001133.9","51855","52595","-",741,1430,0.0657470563730909,54.5203496488204
"YAL048C","NC_001133.9","52801","54789","-",1989,1352,0.0231579649542295,19.2036026570533
"YAL047C","NC_001133.9","54989","56857","-",1869,1215,0.0221475382514636,18.36571241271
"YAL046C","NC_001133.9","57029","57385","-",357,1259,0.120147848395776,99.6318780710032
"YAL044W-A","NC_001133.9","57518","57850","+",333,2789,0.285340070783494,236.61653138744
"YAL044C","NC_001133.9","57950","58462","-",513,7605,0.505056933047835,418.815413211393
"YAL043C","NC_001133.9","58695","61052","-",2358,2806,0.0405417367970734,33.6189905294611
"YAL042W","NC_001133.9","61316","62563","+",1248,7913,0.216015574399587,179.129611203042
"YAL041W","NC_001133.9","62840","65404","+",2565,3376,0.0448408206698091,37.1839798817005
"YAL040C","NC_001133.9","65778","67520","-",1743,1534,0.0299837850891896,24.8638728033879
"YAL039C","NC_001133.9","68716","69525","-",810,10714,0.450635194533489,373.686515037433
"YAL038W","NC_001133.9","71786","73288","+",1503,208523,4.72665025014761,3919.54618992195
"YAL037C-A","NC_001133.9","73426","73518","-",93,81,0.0296729383455094,24.6061050174588
"YAL037W","NC_001133.9","74020","74823","+",804,627,0.0265686798701707,22.0319174140569
"YAL036C","NC_001133.9","75043","76152","-",1110,2868,0.0880267468275791,72.9956484782192
"YAL035W","NC_001133.9","76427","79435","+",3009,14242,0.161252804862192,133.717915111679
"YAL034W-A","NC_001133.9","79718","80587","+",870,823,0.0322284238403142,26.7252259391412
"YAL034C","NC_001133.9","80710","81951","-",1242,3039,0.0833618968387932,69.1273497820057
