"Geneid","Chr","Start","End","Strand","Length","X.scratch_tmp.grp.msc_appbio.group8.output.alignment_SRR1166445.theAlignmentAligned.sortedByCoord.out.bam","rpkm","normalized_rpkm"
"YAL068C","NC_001133.9","1807","2169","-",363,182,0.0143346153147626,11.6956377226965
"YAL067W-A","NC_001133.9","2480","2707","+",228,5,0.000626983969449926,0.511557317975084
"YAL067C","NC_001133.9","7235","9016","-",1782,1187,0.0190442686370427,15.5382521108311
"YAL065C","NC_001133.9","11565","11951","-",387,31,0.00229019260778919,1.86857215682062
"YAL064W-B","NC_001133.9","12046","12426","+",381,49,0.00367698945233311,3.00006212935309
"YAL064C-A","NC_001133.9","13363","13743","-",381,165,0.0123816991762237,10.1022500274135
"YAL064W","NC_001133.9","21566","21850","+",285,11,0.00110349178623187,0.900340879636148
"YAL063C-A","NC_001133.9","22395","22685","-",291,93,0.00913716019808676,7.45502499679978
"YAL063C","NC_001133.9","24000","27968","-",3969,445,0.00320553255431542,2.61539962115153
"YAL062W","NC_001133.9","31567","32940","+",1374,19810,0.412210473818791,336.323247008981
"YAL061W","NC_001133.9","33448","34701","+",1254,3047,0.0694698238150518,56.6805508316393
"YAL060W","NC_001133.9","35155","36303","+",1149,10355,0.257662581868252,210.227351488267
"YAL059W","NC_001133.9","36509","37147","+",639,1722,0.0770466160092495,62.8624688432255
"YAL058W","NC_001133.9","37464","38972","+",1509,1488,0.0281925897165619,23.0023832903246
"YAL056W","NC_001133.9","39259","41901","+",2643,7055,0.0763169726991286,62.2671515895302
"YAL055W","NC_001133.9","42177","42719","+",543,1807,0.0951436049640854,77.6278338034853
"YAL054C","NC_001133.9","42881","45022","-",2142,5290,0.0706085812542432,57.6096650192445
"YAL053W","NC_001133.9","45899","48250","+",2352,9050,0.110010095456036,89.7574294140977
"YAL051W","NC_001133.9","48564","51707","+",3144,2639,0.0239981703909838,19.5801492218234
"YAL049C","NC_001133.9","51855","52595","-",741,1675,0.0646275783894539,52.7297543143548
"YAL048C","NC_001133.9","52801","54789","-",1989,1449,0.0208283507244958,16.9938878083524
"YAL047C","NC_001133.9","54989","56857","-",1869,1402,0.0214466760554827,17.4983805280517
"YAL046C","NC_001133.9","57029","57385","-",357,1924,0.154084208317388,125.717575232922
"YAL044W-A","NC_001133.9","57518","57850","+",333,3780,0.324540458997432,264.793128482671
"YAL044C","NC_001133.9","57950","58462","-",513,9717,0.54154695387955,441.849107445679
"YAL043C","NC_001133.9","58695","61052","-",2358,3581,0.0434191982670774,35.4257998551723
"YAL042W","NC_001133.9","61316","62563","+",1248,9283,0.212664522268595,173.513355908637
"YAL041W","NC_001133.9","62840","65404","+",2565,4037,0.0449979428385663,36.7139003140518
"YAL040C","NC_001133.9","65778","67520","-",1743,1826,0.0299519199120079,24.4378238758383
"YAL039C","NC_001133.9","68716","69525","-",810,14225,0.5020980513869,409.66267886138
"YAL038W","NC_001133.9","71786","73288","+",1503,230762,4.38961663937066,3581.49589844433
"YAL037C-A","NC_001133.9","73426","73518","-",93,78,0.0239791030380591,19.5645921352019
"YAL037W","NC_001133.9","74020","74823","+",804,703,0.0249988802386348,20.3966301378901
"YAL036C","NC_001133.9","75043","76152","-",1110,3227,0.0831184175543423,67.8164623502839
"YAL035W","NC_001133.9","76427","79435","+",3009,17535,0.166611456974504,135.938579336526
"YAL034W-A","NC_001133.9","79718","80587","+",870,1036,0.0340456619438685,27.7779151641974
"YAL034C","NC_001133.9","80710","81951","-",1242,3234,0.0744457139841936,60.7403883290764
"YAL033W","NC_001133.9","82706","83227","+",522,1025,0.0561402887587922,45.8049598508725
"YAL032C","NC_001133.9","83335","84474","-",1140,2959,0.0742098226240933,60.5479241555309
"YAL031C","NC_001133.9","84749","87031","-",2283,3192,0.0399740591634156,32.6149048310674
"YAL030W","NC_001133.9;NC_001133.9","87286;87501","87387;87752","+;+",354,3512,0.283643297040371,231.425062466721
"YAL029C","NC_001133.9","87855","92270","-",4416,3412,0.022090280854076,18.0234988096135
"YAL028W","NC_001133.9","92900","94486","+",1587,1773,0.0319413368300335,26.0609926209855
"YAL027W","NC_001133.9","94687","95472","+",786,1048,0.0381206253425555,31.1026849328851
"YAL026C","NC_001133.9","95630","99697","-",4068,3704,0.0260322264507422,21.2397391208345
"YNCA0001W","NC_001133.9","99305","99868","+",564,25,0.00126730802335623,1.03399883420496
"YAL025C","NC_001133.9","100225","101145","-",921,4525,0.140468916673505,114.608834952203
"YAL024C","NC_001133.9","101565","105872","-",4308,1344,0.00891958921664252,7.27750845226281
"YAL023C","NC_001133.9","106272","108551","-",2280,10801,0.135441077080573,110.506611828978
"YAL022C","NC_001133.9","108877","110430","-",1554,1960,0.0360600509997147,29.4214587202967
"YAL021C","NC_001133.9","110846","113359","-",2514,5397,0.0613773911019607,50.0779208182521
"YAL020C","NC_001133.9","113614","114615","-",1002,2039,0.0581796070909212,47.4688432471203
"YAL019W","NC_001133.9","114919","118314","+",3396,3982,0.0335239244951537,27.3522286666847
"YAL018C","NC_001133.9","118564","119541","-",978,864,0.0252578376502822,20.6079139432613
"YAL017W","NC_001133.9","120225","124295","+",4071,4861,0.0341386071831544,27.8537493475966
"YAL016W","NC_001133.9","124879","126786","+",1908,9015,0.135085470700919,110.216471961462
