"Geneid","Chr","Start","End","Strand","Length","X.scratch_tmp.grp.msc_appbio.group8.output.alignment_SRR1166443.theAlignmentAligned.sortedByCoord.out.bam","rpkm","normalized_rpkm"
"YAL068C","NC_001133.9","1807","2169","-",363,162,0.0124614992030231,11.1595834479225
"YAL067W-A","NC_001133.9","2480","2707","+",228,3,0.00036740774940687,0.329022806334948
"YAL067C","NC_001133.9","7235","9016","-",1782,3790,0.0593872772946997,53.182788516677
"YAL065C","NC_001133.9","11565","11951","-",387,55,0.00396838344320598,3.55378638366946
"YAL064W-B","NC_001133.9","12046","12426","+",381,62,0.00454389846510543,4.06917444475138
"YAL064C-A","NC_001133.9","13363","13743","-",381,155,0.0113597461627636,10.1729361118784
"YAL064W","NC_001133.9","21566","21850","+",285,11,0.00107772939826015,0.965133565249181
"YAL063C-A","NC_001133.9","22395","22685","-",291,67,0.00642900432982743,5.75733377957923
"YAL063C","NC_001133.9","24000","27968","-",3969,363,0.0025538032226346,2.28699450268797
"YAL062W","NC_001133.9","31567","32940","+",1374,7708,0.156645122899956,140.279615817659
"YAL061W","NC_001133.9","33448","34701","+",1254,2933,0.0653095108491121,58.4862964230547
"YAL060W","NC_001133.9","35155","36303","+",1149,6068,0.147464488231912,132.058128417646
"YAL059W","NC_001133.9","36509","37147","+",639,1500,0.0655469224293946,58.6989044165635
"YAL058W","NC_001133.9","37464","38972","+",1509,1937,0.0358428294272261,32.098148022651
"YAL056W","NC_001133.9","39259","41901","+",2643,6631,0.0700557471661326,62.7366694624802
"YAL055W","NC_001133.9","42177","42719","+",543,1225,0.0629938516938851,56.4125658743714
"YAL054C","NC_001133.9","42881","45022","-",2142,1553,0.0202448187894463,18.1297403296458
"YAL053W","NC_001133.9","45899","48250","+",2352,6247,0.0741645034019551,66.4161631842075
"YAL051W","NC_001133.9","48564","51707","+",3144,2657,0.0235977677014084,21.1323897356325
"YAL049C","NC_001133.9","51855","52595","-",741,1133,0.0426946646233829,38.2341373925637
"YAL048C","NC_001133.9","52801","54789","-",1989,1738,0.0243992734055579,21.8501580910863
"YAL047C","NC_001133.9","54989","56857","-",1869,1372,0.0204977746635383,18.3562686260876
"YAL046C","NC_001133.9","57029","57385","-",357,1230,0.096205256063177,86.1542071041763
"YAL044W-A","NC_001133.9","57518","57850","+",333,2005,0.168124903467324,150.560045733692
"YAL044C","NC_001133.9","57950","58462","-",513,22512,1.22534566735518,1097.32761721664
"YAL043C","NC_001133.9","58695","61052","-",2358,4356,0.0515829261610011,46.1937973596364
"YAL042W","NC_001133.9","61316","62563","+",1248,11275,0.252268990758611,225.91317527918
"YAL041W","NC_001133.9","62840","65404","+",2565,4753,0.0517418972720253,46.3361599558521
"YAL040C","NC_001133.9","65778","67520","-",1743,2328,0.037294732235834,33.3983632124094
"YAL039C","NC_001133.9","68716","69525","-",810,3535,0.121861439451419,109.129959444379
"YAL038W","NC_001133.9","71786","73288","+",1503,236448,4.39277105283661,3933.83607646954
"YAL037C-A","NC_001133.9","73426","73518","-",93,69,0.0207170563213938,18.5526408217255
"YAL037W","NC_001133.9","74020","74823","+",804,943,0.0327504708762333,29.3288637865834
"YAL036C","NC_001133.9","75043","76152","-",1110,3151,0.0792660704477113,70.9847437566378
"YAL035W","NC_001133.9","76427","79435","+",3009,12710,0.117946556868415,105.624084415855
"YAL034W-A","NC_001133.9","79718","80587","+",870,841,0.0269922226564247,24.1722088387408
"YAL034C","NC_001133.9","80710","81951","-",1242,2582,0.0580492411285096,51.984543746151
"YAL033W","NC_001133.9","82706","83227","+",522,802,0.0429008374364895,38.4187702906662
"YAL032C","NC_001133.9","83335","84474","-",1140,2089,0.0511676525673967,45.8219094955804
"YAL031C","NC_001133.9","84749","87031","-",2283,3671,0.0448993834662808,40.2085181236203
"YAL030W","NC_001133.9;NC_001133.9","87286;87501","87387;87752","+;+",354,3272,0.258090451583348,231.126438691876
"YAL029C","NC_001133.9","87855","92270","-",4416,3709,0.0234525285402641,21.0023244431432
"YAL028W","NC_001133.9","92900","94486","+",1587,1787,0.0314419541666325,28.157054425937
"YAL027W","NC_001133.9","94687","95472","+",786,788,0.0279940398174028,25.0693611015106
"YAL026C","NC_001133.9","95630","99697","-",4068,4284,0.0294056255365994,26.3334713317989
"YNCA0001W","NC_001133.9","99305","99868","+",564,57,0.00282200420289106,2.52717517206205
"YAL025C","NC_001133.9","100225","101145","-",921,3559,0.10790219076066,96.6291039616743
"YAL024C","NC_001133.9","101565","105872","-",4308,1121,0.00726594025498321,6.5068307819202
"YAL023C","NC_001133.9","106272","108551","-",2280,11623,0.142346009045202,127.474402601037
"YAL022C","NC_001133.9","108877","110430","-",1554,3527,0.0633747632200838,56.7536816497397
"YAL021C","NC_001133.9","110846","113359","-",2514,5030,0.0558681919026484,50.0313597477024
"YAL020C","NC_001133.9","113614","114615","-",1002,1940,0.0540624736252983,48.4142939780686
"YAL019W","NC_001133.9","114919","118314","+",3396,3654,0.0300443467730522,26.9054621349942
