"Geneid","Chr","Start","End","Strand","Length","X.scratch_tmp.grp.msc_appbio.group8.output.alignment_SRR1166447.theAlignmentAligned.sortedByCoord.out.bam","rpkm","normalized_rpkm"
"YAL068C","NC_001133.9","1807","2169","-",363,121,0.0124402753266807,10.1604814332356
"YAL067W-A","NC_001133.9","2480","2707","+",228,1,0.000163687833245799,0.133690545174153
"YAL067C","NC_001133.9","7235","9016","-",1782,891,0.018660412990021,15.2407221498535
"YAL065C","NC_001133.9","11565","11951","-",387,33,0.00318239601380204,2.59919292478121
"YAL064W-B","NC_001133.9","12046","12426","+",381,36,0.00352637725795673,2.88013646926364
"YAL064C-A","NC_001133.9","13363","13743","-",381,125,0.0122443654790164,10.0004738516099
"YAL064W","NC_001133.9","21566","21850","+",285,5,0.000654751332983195,0.534762180696612
"YAL063C-A","NC_001133.9","22395","22685","-",291,60,0.00769501566598806,6.28483387622823
"YAL063C","NC_001133.9","24000","27968","-",3969,380,0.00357317053978735,2.9183544555023
"YAL062W","NC_001133.9","31567","32940","+",1374,14504,0.393960160127024,321.763368357314
"YAL061W","NC_001133.9","33448","34701","+",1254,2117,0.0630049350875192,51.458706206124
"YAL060W","NC_001133.9","35155","36303","+",1149,7342,0.23847650508744,194.773510921191
"YAL059W","NC_001133.9","36509","37147","+",639,1399,0.0817086628264145,66.7348052821439
"YAL058W","NC_001133.9","37464","38972","+",1509,1140,0.0281946597861153,23.0277312800967
"YAL056W","NC_001133.9","39259","41901","+",2643,5401,0.0762655244488109,62.289171646885
"YAL055W","NC_001133.9","42177","42719","+",543,1294,0.0889376589653305,72.6390219591542
"YAL054C","NC_001133.9","42881","45022","-",2142,3759,0.065494390690466,53.4919463690935
"YAL053W","NC_001133.9","45899","48250","+",2352,7460,0.118373027980916,96.6800911886962
"YAL051W","NC_001133.9","48564","51707","+",3144,1971,0.0233967391878699,19.1090733825453
"YAL049C","NC_001133.9","51855","52595","-",741,1253,0.0631079554021494,51.5428471086812
"YAL048C","NC_001133.9","52801","54789","-",1989,1171,0.0219721906599443,17.945586362472
"YAL047C","NC_001133.9","54989","56857","-",1869,1026,0.0204875160275672,16.7329918948632
"YAL046C","NC_001133.9","57029","57385","-",357,1425,0.148969683533781,121.669630608074
"YAL044W-A","NC_001133.9","57518","57850","+",333,2763,0.309661988537106,252.913605405676
"YAL044C","NC_001133.9","57950","58462","-",513,6920,0.503431024915967,411.172698935617
"YAL043C","NC_001133.9","58695","61052","-",2358,2660,0.042100677314212,34.3853442905939
"YAL042W","NC_001133.9","61316","62563","+",1248,7168,0.214355513321267,175.072910849599
"YAL041W","NC_001133.9","62840","65404","+",2565,3080,0.0448140912352942,36.6015003676792
"YAL040C","NC_001133.9","65778","67520","-",1743,1519,0.0325245752516833,26.5641502531582
"YAL039C","NC_001133.9","68716","69525","-",810,10168,0.468491553784035,382.636204493111
"YAL038W","NC_001133.9","71786","73288","+",1503,179143,4.44827992584343,3633.09206665495
"YAL037C-A","NC_001133.9","73426","73518","-",93,60,0.0240779522451884,19.6654479352948
"YAL037W","NC_001133.9","74020","74823","+",804,520,0.0241378476487834,19.7143669600094
"YAL036C","NC_001133.9","75043","76152","-",1110,2729,0.0917554361257071,74.9404157602704
"YAL035W","NC_001133.9","76427","79435","+",3009,13301,0.164973182572463,134.740342515919
"YAL034W-A","NC_001133.9","79718","80587","+",870,733,0.0314438683257136,25.6814927260749
"YAL034C","NC_001133.9","80710","81951","-",1242,2485,0.0746717009343032,60.9874308250979
"YAL033W","NC_001133.9","82706","83227","+",522,680,0.0486171679433498,39.7076285896565
"YAL032C","NC_001133.9","83335","84474","-",1140,2224,0.0728083482277312,59.4655544934633
"YAL031C","NC_001133.9","84749","87031","-",2283,2380,0.0389065115341656,31.7765385165582
